CompID,company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,lastfundamt,last funding type,totfundamt,investor1,investor2,investor3,investor4,investor5,no of investor,founder2,founder3,RevGp,E-Gp,founded year,tfa,lfa,lastfundedyear,timefund,indtemp,indtemp2,index,Rank
C1009,Reliance Retail,Consumer Goods,Grocery,Mumbai,Maharashtra,"Reliance Retail operates a chain of neighborhood stores, supermarkets, and specialty stores.",400 002,$10B+,2006,relianceretail.com,1,Mukesh Ambani,10001,9,Private Equity,"Oct 6, 2023","$ 60,00,00,000.00",Private Equity,"$ 8,27,16,68,036.00",Silver Lake,Saudi Arabia's Public Investment Fund,TPG,GIC,General Atlantic,9,,,G9,E-G1,2023,8271668036,600000000,2006,17,486568708,43791183.72,350329469.8,1
C2994,Swiggy,Delivery,Food and Beverage,Bengaluru,Karnataka,Swiggy is a food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,700091,$100M to $500M,"Aug 1, 2014",www.swiggy.com,4,Nandan Reddy,10001,15,Late Stage Venture,"Jan 24, 2022","$ 70,00,00,000.00",Series J,"$ 3,57,65,00,000.00",Meituan,Tencent,Invesco,Goldman Sachs,Accel,42,Phani Kishan Addepalli,Rahul Jaimini,G5,E-G1,2022,3576500000,700000000,2014,8,447062500,40235625,201178125,2
C1017,Ola,Apps,Mobile,Kormangala,Karnataka,Ola is a mobility platform and ride-hailing company that integrates city transportation for customers and driver partners.,560034,$100M to $500M,"Dec 3, 2010",www.olacabs.com,3,Ankit Bhati,5001-10000,30,Late Stage Venture,"Feb 22, 2022","₹ 1,50,00,00,000.00",Series J,"$ 4,96,69,43,275.00",SoftBank,Vanguard,Tencent,Yes Bank,IIFL Finance,61,,,G5,E-G4,2022,4966943275,21000000,2010,12,413911939.6,33112955.17,165564775.8,3
C4025,PhonePe,FinTech,Mobile Apps,Andheri,Maharashtra,PhonePe is a mobile payment application that enables users to transfer money.,400093,$50M to $100M,Dec-15,www.phonepe.com,3,Burzin Engineer,5001-10000,18,Private Equity,"May 22, 2023","$ 10,00,00,000.00",Private Equity,"$ 2,59,37,46,727.00",Walmart,Flipkart,General Atlantic,Tiger Global Management,,7,Rahul Chari,,G4,E-G4,2023,2593746727,100000000,2015,8,324218340.9,25937467.27,103749869.1,4
C8,Greenko Group,Clean Energy,Energy,Hyderabad,Andhra Pradesh,"Greenko Group is a renewable energy company, replacing fossil fuels with integrated decarbonized energy and grid assets.",500033,$50M to $100M,2004,www.greenkogroup.com,2,Anil Chalamalasetty,1001-5000,15,Private Equity,"Mar 2, 2023","$700,000,000",Private Equity,"$6,712,752,897",Deutsche Bank,GIC,JP Morgan,Power Finance,Abu Dhabi Investment Authority,12,,,G4,E-G2,2004,6712752897,700000000,2023,19,353302784.1,24731194.89,98924779.55,5
C2995,CARS24,Artificial Intelligence (AI),Automotive,Gurgaon,Haryana,CARS24 offers a tech-enabled marketplace for buying and selling pre-owned cars.,122003,$100M to $500M,2015,www.cars24.com,4,Gajendra Jangid,1001-5000,16,Late Stage Venture,"Dec 20, 2021","₹ 22,80,00,00,000.00",Series G,"$ 1,31,77,30,249.00",Alibaba Group,Tencent,500 Global,Vivriti Capital,Alpha Wave Global,37,Mehul Agrawal,Ruchit Agarwal,G5,E-G2,2021,1317730249,319200000,2015,6,219621708.2,15373519.57,76867597.87,6
C3143,ShareChat,Internet,Mobile Apps,Bengaluru,Karnataka,ShareChat is a social networking and regional content platform.,—,$50M to $100M,2015,sharechat.com,3,Ankush Sachdeva,1001-5000,15,Late Stage Venture,"May 31, 2022","$ 30,00,00,000.00",Series H,"$ 1,69,65,84,005.00",Google,Snap,Tencent,Lightspeed Venture Partners,X (formerly Twitter),27,Bhanu Pratap Singh,Farid Ahsan,G4,E-G2,2022,1696584005,300000000,2015,7,242369143.6,16965840.05,67863360.21,7
C4036,Udaan,B2B,E-Commerce,Bengaluru,Karnataka,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform.",560102,$10M to $50M,2016,udaan.com,3,Amod Malviya,5001-10000,15,Late Stage Venture,"Dec 14, 2023","$ 34,00,00,000.00",Series E,"$ 1,96,99,13,446.00",Tencent,BlackSoil,Lightspeed Venture Partners,M&G Plc,,25,Sujeet Kumar,,G2,E-G4,2023,1969913446,340000000,2016,7,281416206.6,22513296.53,67539889.58,8
C2098,BigBasket,Delivery,E-Commerce,Bengaluru,Karnataka,BigBasket is an online grocery shopping and supermarket that delivers personal and household needs to the customer's doorstep.,560071,$100M to $500M,"Oct 1, 2011",bigbasket.com,5,Abhinay Choudhari,10001,21,M&A,"Dec 21, 2022","$ 20,00,00,000.00",Venture - Series Unknown,"$ 1,50,80,63,927.00",Alibaba Group,British International Investment,Paytm Mall,International Finance Corporation,Bessemer Venture Partners,18,Hari Menon,,G5,E-G1,2022,1508063927,200000000,2011,11,137096720.6,12338704.85,61693524.27,9
C3156,OfBusiness,Financial Services,FinTech,Gurgaon,Haryana,OfBusiness is a tech-enabled platform that facilitates raw material procurement and credit for SMEs.,122001,$1B to $10B,2015,www.ofbusiness.com,7,Asish Mohapatra,501-1000,12,Late Stage Venture,"Dec 20, 2021","$ 18,50,00,000.00",Series G,"$ 87,81,25,171.00",Titan Capital,Tiger Global Management,Alpha Wave Global,Matrix Partners India,Kotak Mahindra Bank,17,Bhuvan Gupta,Chandranshu Sinha,G7,E-G3,2021,878125171,185000000,2015,6,146354195.2,8781251.712,61468761.98,10
